brand,code,name,hex
Anchor,Anchor 978,Blue Dark,#46576b
Cosmo,734,734,#465f80
Ariadna,1648,gray green dark,#466364
Ariadna,1694,avocado green dark,#466432
Cosmo,536A,536A,#466457
Ariadna,1628,royal blue,#466acc
Cosmo,2023,2023,#469fc6
Ariadna,1589,violet ultra dark,#471173
DMC,550,Violet very dark,#47184b
CXC,CXC 550,Violet very dark,#47184b
Cosmo,369,369,#474333
Madeira,1608,Green DK,#474500
Cosmo,2041,2041,#474639
DMC,3807,Cornflower Blue,#47548f
CXC,CXC 3807,Cornflower Blue,#47548f
Anchor,Anchor 244,Pistachio Green Medium,#475c3b
Cosmo,287A,287A,#482a67
DMC,9,Very Dark Cocoa,#483837
CXC,CXC 09,Very Dark Cocoa,#483837
Anchor,Anchor 856,Yellow Green Medium,#484020
Anchor,Anchor 235,Pewter Grey,#484848
Sullivans,Sullivans 45373,Blue Violet Dark,#4849a1
Sullivans,Sullivans 45104,Avocado Green,#484a1d
Sullivans,Sullivans 45058,Pewter Grey,#484c56
Cosmo,925,925,#485930
Madeira,1003,Antique Blue,#486f84
Sullivans,Sullivans 45115,Wedgewood Light,#4883a7
Finca,3664,Turquoise dark,#488e9a
Anchor,Anchor 70,Dusty Plum Very Dark,#490029
Finca,8080,Coffee Brown very dark,#492a13
Sullivans,Sullivans 45174,Olive Green Very Dark,#493b0d
DMC,29,Eggplant,#493c5e
CXC,CXC 29,Eggplant,#493c5e
Anchor,Anchor 924,Yellow Green Very Dark,#493f0d
Anchor,Anchor 262,Laurel Green Dark,#495136
Sullivans,Sullivans 45476,Grey Blue,#49527a
Cosmo,526,526,#4966b1
Madeira,1703,Sea Foam Green Med,#496d57
Sullivans,Sullivans 45211,Coffee Brown Dark,#4a1e10
Madeira,2007,Tan VY DK,#4a2c09
DMC,898,Coffee Brown very dark,#4a2e23
CXC,CXC 898,Coffee Brown very dark,#4a2e23
Cosmo,370,370,#4a3e24
Cosmo,686,686,#4a4c26
Cosmo,676,676,#4a4f2b
Sullivans,Sullivans 45343,Hunter Green,#4a5825
DMC,3838,Lavender Blue dark,#4a5ca6
CXC,CXC 3838,Lavender Blue dark,#4a5ca6
Sullivans,Sullivans 45063,Baby Blue Dark,#4a6ca1
DMC,334,Baby Blue medium,#4a75a6
CXC,CXC 334,Baby Blue medium,#4a75a6
Anchor,Anchor 239,Chartreuse Very Dark,#4a8626
Ariadna,1774,desert sand ultra dark,#4b1414
Anchor,Anchor 101,Violet Very Dark,#4b143b
Madeira,1613,Sage Green Med,#4b460d
Ariadna,1800,brown grey very dark,#4b461e
DMC,535,Ash Grey very light,#4b4b46
CXC,CXC 535,Ash Grey very light,#4b4b46
Sullivans,Sullivans 45255,Parrot Green Medium,#4b7e16
Sullivans,Sullivans 45128,Jade Medium,#4b8256
Madeira,2506,Misty Green Bright,#4b8895
Anchor,Anchor 1072,Jade Medium Light,#4baf87
Anchor,Anchor 360,Black Brown Medium,#4c270c
Anchor,Anchor 281,Yellow Green Dark,#4c4416
Finca,4823,Avocado Green very dark,#4c5826
Cosmo,327,327,#4c8738
Madeira,1207,Jade Med,#4c9a6b
Sullivans,Sullivans 45048,Mahogany Very Dark,#4d110b
Cosmo,286,286,#4d2a68
Anchor,Anchor 904,Brown Grey Medium,#4d3927
Sullivans,Sullivans 45131,Moss Green Dark,#4d5315
Madeira,1503,Avocado Green Med LT,#4d5815
Madeira,1513,Grey Green Med,#4d5848
DMC,3346,Hunter Green,#4d6130
CXC,CXC 3346,Hunter Green,#4d6130
Sullivans,Sullivans 45274,Antique Blue Medium,#4d6786
Ariadna,1671A,jade very dark,#4d897c
DMC,597,Turquoise,#4d929f
CXC,CXC 597,Turquoise,#4d929f
Sullivans,Sullivans 45162,Kelly Green,#4d9336
Cosmo,273,273,#4d983e
Cosmo,899,899,#4d9d8b
DMC,913,Nile Green medium,#4daf78
CXC,CXC 913,Nile Green medium,#4daf78
Sullivans,Sullivans 45449,Bright Green Light,#4db088
Anchor,Anchor 277,Gold Dark,#4e3008
Madeira,1913,Beige Brown VY DK,#4e3426
Anchor,Anchor 872,Antique Violet Medium Dark,#4e3948
Sullivans,Sullivans 45151,Beaver Grey Very Dark,#4e4945
DMC,645,Beaver Grey very dark,#4e5847
CXC,CXC 645,Beaver Grey very dark,#4e5847
Anchor,Anchor 205,Emerald Green Light,#4e7152
Madeira,1106,Wedgewood Med,#4e757d
Sullivans,Sullivans 45212,Peacock Blue Dark,#4e90ac
Madeira,1103,Electric Blue Med,#4ea7f2
Cosmo,226,226,#4f1426
Cosmo,765,765,#4f3556
DMC,333,Blue Violet very dark,#4f3687
CXC,CXC 333,Blue Violet very dark,#4f3687
Cosmo,2040,2040,#4f3d2e
Cosmo,311,311,#4f4036
DMC,317,Pewter Grey,#4f5460
CXC,CXC 317,Pewter Grey,#4f5460
Cosmo,664A,664A,#4f569c
DMC,161,Grey Blue,#4f5c85
CXC,CXC 161,Grey Blue,#4f5c85
Cosmo,214,214,#4f70b3
Anchor,Anchor 209,Jade Medium,#4f8866
Cosmo,413,413,#4f8bcd
Finca,3483,Wedgewood light,#4f93a7
Sullivans,Sullivans 45216,Garnet Dark,#500212
Sullivans,Sullivans 45432,Grape Dark,#50183f
Ariadna,1785,cocoa ultra dark,#503217
Anchor,Anchor 936,Dusty Flesh Very Dark,#503329
Ariadna,1762,antique violet medium,#503737
DMC,3781,Mocha Brown dark,#503d2e
CXC,CXC 3781,Mocha Brown dark,#503d2e
Ariadna,1609,blue violet very dark,#504696
DMC,3787,Brown Grey dark,#50473d
CXC,CXC 3787,Brown Grey dark,#50473d
Anchor,Anchor 860,Fern Green Medium,#505b47
Cosmo,2014,2014,#505c2e
Madeira,1403,Green,#507034
Cosmo,2026,2026,#5087b0
Ariadna,1616,blue dark,#50a0c8
Sullivans,Sullivans 45493,Cocoa Dark,#512f2c
Madeira,806,Antique Violet DK,#513842
Madeira,1407,Hunter Green,#516a2d
Cosmo,633,633,#517734
Sullivans,Sullivans 45067,Baby Blue Medium,#517bad
Madeira,1013,Blue,#5194a3
Sullivans,Sullivans 45260,Emerald Green Light,#51a361
Madeira,805,Purple,#52034a
Cosmo,656,656,#522022
Sullivans,Sullivans 45371,Antique Violet Dark,#52303f
Madeira,1813,Beaver Grey LT,#525a51
Anchor,Anchor 267,Avocado Green Medium,#525e27
Cosmo,525,525,#5272b7
Cosmo,2253,2253,#5281a9
Sullivans,Sullivans 45447,Teal Green Light,#529890
Anchor,Anchor 119,Blue Violet Dark,#533872
Ariadna,1818,graphite dark,#535050
Cosmo,826,826,#535227
Cosmo,2020,2020,#535656
Anchor,Anchor 131,Sky Blue Medium,#535d86
Anchor,Anchor 1034,Antique Blue Medium Dark,#535e73
DMC,931,Antique Blue medium,#536a82
CXC,CXC 931,Antique Blue medium,#536a82
Ariadna,1637,antique blue,#53788c
Anchor,Anchor 215,Misty Green Light,#537b5a
DMC,799,Delft Blue medium,#537bb5
CXC,CXC 799,Delft Blue medium,#537bb5
DMC,3816,Celadon Green,#53836f
CXC,CXC 3816,Celadon Green,#53836f
Finca,4350,Jade medium,#53976a
Sullivans,Sullivans 45293,Sea Green Dark,#53b091
Ariadna,1652,turquoise,#53e6e6
DMC,779,Cocoa dark,#543836
CXC,CXC 779,Cocoa dark,#543836
Cosmo,176,176,#544799
Sullivans,Sullivans 45316,Khaki Green Dark,#544822
Cosmo,2154,2154,#545358
DMC,793,Cornflower Blue medium,#546497
CXC,CXC 793,Cornflower Blue medium,#546497
DMC,502,Blue Green,#547565
CXC,CXC 502,Blue Green,#547565
Cosmo,844,844,#54a181
Sullivans,Sullivans 45455,Rosewood Dark,#551411
Sullivans,Sullivans 45124,Violet Medium,#552770
Anchor,Anchor 359,Coffee Very Dark,#552f14
Cosmo,266,266,#553273
Anchor,Anchor 375,Hazelnut Brown Medium,#55330e
Madeira,2106,Drab Brown VY DK,#55381c
DMC,839,Beige Brown dark,#553d34
Anchor,Anchor 1086,Taupe Medium Dark,#553d34
CXC,CXC 839,Beige Brown dark,#553d34
Anchor,Anchor 393,Beige Grey Ultra Very Dark,#55493d
Madeira,1801,Steel Grey Med,#555252
Madeira,1711,Dusty Blue Med,#55666a
Cosmo,119,119,#557535
Finca,4906,Parrot Green very dark,#557822
DMC,993,Aquamarine light,#55ab90
CXC,CXC 993,Aquamarine light,#55ab90
Cosmo,555,555,#564e88
DMC,32,Dark Blueberry,#565385
CXC,CXC 32,Dark Blueberry,#565385
Finca,8749,Pewter Grey dark,#565656
Finca,3745,Grey Green very dark,#566a6a
Sullivans,Sullivans 45204,Cornflower Blue Medium,#566a9c
Sullivans,Sullivans 45111,Blue Green,#567469
Sullivans,Sullivans 45209,Delft Blue Medium,#567db2
Cosmo,336,336,#56a265
Sullivans,Sullivans 45252,Garnet Very Dark,#57071f
DMC,3857,Rosewood dark,#572523
CXC,CXC 3857,Rosewood dark,#572523
DMC,801,Coffee Brown dark,#573324
CXC,CXC 801,Coffee Brown dark,#573324
Madeira,2113,Hazelnut Brown VY DK,#57370b
Cosmo,310,310,#573e2f
DMC,730,Olive Green very dark,#574d20
CXC,CXC 730,Olive Green very dark,#574d20
DMC,469,Avocado Green,#575f23
CXC,CXC 469,Avocado Green,#575f23
Anchor,Anchor 257,Forest Green Dark,#576301
Anchor,Anchor 977,Blue Medium,#576a83
Cosmo,165A,165A,#5774a1
Anchor,Anchor 161,Baby Blue Dark,#57819c
Madeira,705,Mauve VY DK,#58052a
Madeira,601,Plum VY DK,#58082c
Cosmo,131,131,#58251f
DMC,35,Very Dark Fuchsia,#58274b
CXC,CXC 35,Very Dark Fuchsia,#58274b
Sullivans,Sullivans 45231,Golden Olive Dark,#583714
Cosmo,894,894,#585550
Anchor,Anchor 921,Antique Blue Medium,#586172
Finca,4561,Forest Green dark,#587141
Anchor,Anchor 876,Sea Foam Green Medium,#587167
Sullivans,Sullivans 45061,Pistachio Green Medium,#587c54
Cosmo,2535,2535,#588873
DMC,3766,Peacock Blue light,#58a2b9
CXC,CXC 3766,Peacock Blue light,#58a2b9
Ariadna,1588,violet very dark,#591396
Anchor,Anchor 352,Copper Very Dark,#59280e
Finca,8171,Beige Brown very dark,#594937
Madeira,1612,Sage Green,#595317
Sullivans,Sullivans 45349,Pine Green Medium,#596242
Madeira,1411,Forest Green Med,#596c03
Cosmo,2924,2924,#597037
Cosmo,982,982,#597e89
Cosmo,253,253,#598fb0
Sullivans,Sullivans 45133,Turquoise,#5993a7
Madeira,1212,Leaf Green Med,#59b67e
Anchor,Anchor 897,Shell Pink Very Dark,#5a0200
Cosmo,225,225,#5a1526
Madeira,1903,Beige Grey DK,#5a4f44
Anchor,Anchor 243,Pistachio Green Medium Dark,#5a734a
DMC,320,Pistachio Green medium,#5a7f5a
CXC,CXC 320,Pistachio Green medium,#5a7f5a
DMC,988,Forest Green medium,#5a8044
CXC,CXC 988,Forest Green medium,#5a8044
DMC,906,Parrot Green medium,#5a8b23
CXC,CXC 906,Parrot Green medium,#5a8b23
Finca,3396,Baby Blue dark,#5a8fb8
Madeira,1201,Turquoise Med,#5a997e
Cosmo,374,374,#5a99a6
DMC,814,Garnet dark,#5b1325
CXC,CXC 814,Garnet dark,#5b1325
DMC,902,Garnet very dark,#5b202e
CXC,CXC 902,Garnet very dark,#5b202e
DMC,3834,Grape dark,#5b294a
CXC,CXC 3834,Grape dark,#5b294a
Anchor,Anchor 357,Chocolate Dark,#5b2c11
Madeira,810,Antique Mauve DK,#5b3039
Cosmo,675A,675A,#5b5f2a
DMC,3363,Pine Green medium,#5b6b4a
CXC,CXC 3363,Pine Green medium,#5b6b4a
DMC,3839,Lavender Blue medium,#5b70ae
CXC,CXC 3839,Lavender Blue medium,#5b70ae
Anchor,Anchor 226,Christmas Green Light,#5b8542
Finca,4228,Blue Green,#5b9071
Anchor,Anchor 1064,Teal Medium Light,#5ba3b2
Finca,3654,Turquoise,#5ba3b3
Ariadna,1686B,forest green dark,#5ba872
Finca,2635,Violet very dark,#5c184e
Anchor,Anchor 889,Drab Brown Very Dark,#5c3a18
DMC,3740,Antique Violet dark,#5c3e4d
CXC,CXC 3740,Antique Violet dark,#5c3e4d
Anchor,Anchor 898,Drab Brown Dark,#5c4736
Finca,2699,Blue Violet very dark,#5c5478
DMC,3011,Khaki Green dark,#5c5830
CXC,CXC 3011,Khaki Green dark,#5c5830
Madeira,902,Blue Violet LT,#5c588e
DMC,580,Moss Green dark,#5c5f20
CXC,CXC 580,Moss Green dark,#5c5f20
Sullivans,Sullivans 45309,Forest Green Medium,#5c7641
DMC,809,Delft Blue,#5c92bb
CXC,CXC 809,Delft Blue,#5c92bb
Cosmo,564,564,#5c9494
Anchor,Anchor 111,Lavender Dark,#5d2c6e
Madeira,2114,Avocado VY DK,#5d3c0f
Anchor,Anchor 871,Antique Violet Medium,#5d4556
Sullivans,Sullivans 45437,Lavender Blue Medium,#5d79bc
Sullivans,Sullivans 45094,Brown Medium,#5e2510
DMC,327,Violet,#5e2e5e
CXC,CXC 327,Violet,#5e2e5e
Ariadna,1781,golden brown very dark,#5e3422
Cosmo,2035,2035,#5e485a
Anchor,Anchor 844,Khaki Green Medium,#5e5837
Madeira,1509,Fern Green LT,#5e6040
Cosmo,685,685,#5e6233
Cosmo,733,733,#5e7e9d
Cosmo,335,335,#5ead6d
Anchor,Anchor 1028,Dusty Plum Dark,#5f0137
Sullivans,Sullivans 45399,Antique Mauve Very Dark,#5f1428
Sullivans,Sullivans 45230,Golden Olive Very Dark,#5f3312
DMC,829,Golden Olive very dark,#5f4220
CXC,CXC 829,Golden Olive very dark,#5f4220
Madeira,2112,Avocado DK,#5f4b29
Cosmo,175,175,#5f50a3
Madeira,1607,Khaki Green DK,#5f5833
Madeira,1502,Avocado Green LT,#5f6b1d
Sullivans,Sullivans 45344,Yellow Green Medium,#5f6e34
Ariadna,1704A,pine green dark,#5f7548
Madeira,1311,Pistachio Green Med,#5f7f4d
Anchor,Anchor 168,Blue Green Medium,#5f858f
Sullivans,Sullivans 45213,Peacock Blue,#5f9ea5
Madeira,514,Garnet VY DK,#60151c
DMC,3802,Antique Mauve very dark,#602c36
CXC,CXC 3802,Antique Mauve very dark,#602c36
Sullivans,Sullivans 45458,Cocoa,#603c3b
DMC,610,Drab Brown dark,#604a30
CXC,CXC 610,Drab Brown dark,#604a30
DMC,3746,Blue Violet dark,#604f9f
CXC,CXC 3746,Blue Violet dark,#604f9f
Cosmo,2038,2038,#605042
Anchor,Anchor 850,Grey Blue Dark,#606d74
Cosmo,535,535,#608c77
Cosmo,326,326,#609c37
DMC,703,Chartreuse,#60a746
CXC,CXC 703,Chartreuse,#60a746
Madeira,811,Shell Pink Med DK,#610013
Sullivans,Sullivans 45217,Garnet Medium,#610118
Anchor,Anchor 1029,Plum Dark,#611440
Cosmo,245,245,#611921
Sullivans,Sullivans 45242,Hazel Nut Brown Very Dark,#613219
Madeira,2304,Mahogany DK,#613514
Sullivans,Sullivans 45040,Lavender Very Dark,#613694
Cosmo,386,386,#61483d
Cosmo,476,476,#614b58
DMC,3790,Beige Grey ultra dark,#614d3d
CXC,CXC 3790,Beige Grey ultra dark,#614d3d
Anchor,Anchor 903,Brown Grey Medium,#614f40
Cosmo,717,717,#615740
Finca,8785,,#616267
Sullivans,Sullivans 45090,Steel Grey Dark,#616270
Madeira,2603,Nile Green LT,#61683a
Cosmo,2015,2015,#616e53
DMC,926,Grey Green medium,#617878
CXC,CXC 926,Grey Green medium,#617878
Madeira,910,Delft Med,#6186af
Sullivans,Sullivans 45413,Celadon Green,#61947c
Madeira,1111,Misty Blue LT,#61a7a5
Cosmo,898,898,#61ad9c
Anchor,Anchor 358,Coffee Dark,#62391b
Cosmo,264,264,#624283
Sullivans,Sullivans 45105,Avocado Green Light,#627422
Finca,4565,Parrot Green dark,#628a28
DMC,300,Mahogany very dark,#632e20
CXC,CXC 300,Mahogany very dark,#632e20
Madeira,2709,Antique Lavender LT,#63336d
Finca,2627,Violet very dark,#633666
Anchor,Anchor 371,Coffee Medium Dark,#633a1b
Madeira,2008,Tan DK,#633d0e
Cosmo,776,776,#635025
Anchor,Anchor 176,Cornflower Blue Medium,#635f95
Finca,8589,Ash Grey very light,#636458
Cosmo,2013,2013,#636d34
Anchor,Anchor 256,Forest Green Medium,#637201
Cosmo,272,272,#63aa44
Anchor,Anchor 100,Violet Dark,#642d55
Ariadna,1773,desert sand very dark,#64321a
DMC,433,Brown medium,#643823
CXC,CXC 433,Brown medium,#643823
Sullivans,Sullivans 45143,Drab Brown Dark,#644724
Sullivans,Sullivans 45144,Drab Brown,#644930
Ariadna,1789,drab brown dark,#64502b
Sullivans,Sullivans 45175,Olive Green Dark,#645312
Sullivans,Sullivans 45176,Olive Green,#645312
Cosmo,716,716,#645b46
Anchor,Anchor 399,Steel Grey Light,#646263
Ariadna,1799,brown grey dark,#646432
DMC,414,Steel Grey dark,#646b78
CXC,CXC 414,Steel Grey dark,#646b78
Cosmo,663,663,#646faf
Sullivans,Sullivans 45270,Grey Green Medium,#647874
Ariadna,1693,avocado green,#648228
Anchor,Anchor 1039,Baby Blue Medium Dark,#6493b0
Ariadna,1671,thyme dark,#649664
Finca,3560,Peacock Blue,#64abba
Ariadna,1686,green,#64b428
Sullivans,Sullivans 45294,Sea Green Medium,#64c3a6
Ariadna,1619,sky blue,#64dcff
Cosmo,437,437,#651a28
Cosmo,285,285,#653488
Cosmo,174,174,#655aa9
DMC,31,Blueberry,#65629d
CXC,CXC 31,Blueberry,#65629d
Finca,3739,Grey Green dark,#657f7f
Cosmo,318,318,#659971
Anchor,Anchor 351,Copper Dark,#66330e
Cosmo,674,674,#666d2d
Finca,5156,Fern Green dark,#666d4f
Anchor,Anchor 939,Blue Grey,#666d7b
DMC,160,Grey Blue medium,#66759c
CXC,CXC 160,Grey Blue medium,#66759c
Anchor,Anchor 208,Jade Light,#669e7c
Sullivans,Sullivans 45056,Antique Mauve Dark,#672433
Cosmo,265,265,#673c84
Finca,8159,Beige Brown dark,#675541
DMC,4,Dark Tin,#676464
CXC,CXC 04,Dark Tin,#676464
Madeira,1603,Laurel Green LT,#677f4f
Sullivans,Sullivans 45215,Blue Light,#6795c2
Sullivans,Sullivans 45355,Mauve Dark,#680720
Madeira,2607,Antique Plum VY DK,#68181c
Anchor,Anchor 1019,Antique Mauve Dark,#682734
Anchor,Anchor 972,Dusty Violet Very Dark,#682f35
Sullivans,Sullivans 45125,Violet,#683c87
Anchor,Anchor 121,Blue Purple Light,#686e8c
Cosmo,632,632,#688e38
Madeira,1105,Wedgewood LT,#689faa
Sullivans,Sullivans 45147,Desert Sand Ultra Very Dark,#692825
Ariadna,1584,plum dark,#693d65
DMC,830,Golden Olive dark,#694b23
CXC,CXC 830,Golden Olive dark,#694b23
DMC,8,Dark Driftwood,#695b50
CXC,CXC 08,Dark Driftwood,#695b50
DMC,732,Olive Green (731),#695c20
CXC,CXC 732,Olive Green (731),#695c20
DMC,646,Beaver Grey dark,#696359
CXC,CXC 646,Beaver Grey dark,#696359
Cosmo,154,154,#696767
Cosmo,924,924,#697e52
Finca,4478,Pistachio Green medium,#69885a
DMC,3755,Baby Blue,#6998c4
CXC,CXC 3755,Baby Blue,#6998c4
Anchor,Anchor 186,Turquoise Light,#69b5a3
DMC,3685,Mauve dark,#6a1836
CXC,CXC 3685,Mauve dark,#6a1836
Sullivans,Sullivans 45326,Antique Violet Medium,#6a485d
Madeira,2105,Hazelnut Brown DK,#6a4b2c
Sullivans,Sullivans 45070,Blue Violet Medium,#6a70c0
Sullivans,Sullivans 45475,Grey Blue Medium,#6a76a0
DMC,470,Avocado Green light,#6a7830
CXC,CXC 470,Avocado Green light,#6a7830
Anchor,Anchor 204,Emerald Green Very Light,#6a996f
Madeira,1113,Turquoise LT,#6ad4b6
Ariadna,1598A,fuchsia very dark,#6b0678
Madeira,513,Garnet DK,#6b171f
Cosmo,246,246,#6b1828
Sullivans,Sullivans 45304,Golden Brown Dark,#6b1e12
Madeira,2311,Peach Flesh VY DK,#6b3523
DMC,731,Olive Green Dark,#6b580b
CXC,CXC 731,Olive Green Dark,#6b580b
Sullivans,Sullivans 45470,Blue Violet Medium Dark,#6b67bd
DMC,3347,Yellow Green medium,#6b834a
CXC,CXC 3347,Yellow Green medium,#6b834a
Anchor,Anchor 242,Pistachio Green Medium,#6b8d58
Cosmo,2118,2118,#6b8f42
Cosmo,164,164,#6b93bf
Finca,3229,Blue medium,#6b9ebf
Anchor,Anchor 433,Electric Blue Medium,#6badff
Sullivans,Sullivans 45261,Nile Green Medium,#6bb874
Sullivans,Sullivans 45086,Mahogany Dark,#6c160b
DMC,3837,Lavender ultra dark,#6c3681
CXC,CXC 3837,Lavender ultra dark,#6c3681
Cosmo,3311,3311,#6c372a
Cosmo,764,764,#6c4d71
Madeira,2107,Drab Brown DK,#6c4f34
Cosmo,368,368,#6c6454
Cosmo,2028,2028,#6c677c
Cosmo,893,893,#6c6c66
Finca,8705,Pewter Grey,#6c6c6c
DMC,989,Forest Green,#6c9254
CXC,CXC 989,Forest Green,#6c9254
Ariadna,1681,green,#6ca844
Cosmo,2412,2412,#6cafe0
DMC,954,Nile Green,#6cbe87
CXC,CXC 954,Nile Green,#6cbe87
Madeira,1211,Leaf Green LT,#6cc690
DMC,221,Shell Pink very dark,#6d2329
CXC,CXC 221,Shell Pink very dark,#6d2329
Cosmo,130,130,#6d3022
Anchor,Anchor 374,Tan Dark,#6d4213
Anchor,Anchor 1088,Taupe Very Dark,#6d491e
Cosmo,263,263,#6d4c93
Cosmo,2039,2039,#6d5d43
Madeira,1808,Shell Grey DK,#6d605d
Anchor,Anchor 233,Shell Grey Dark,#6d615e
Anchor,Anchor 238,Chartreuse,#6d9a3b
DMC,807,Peacock Blue dark,#6d9dc7
CXC,CXC 807,Peacock Blue dark,#6d9dc7
Sullivans,Sullivans 45163,Chartreuse,#6da73d
Finca,4394,Nile Green medium,#6dab77
DMC,563,Jade light,#6db18c
CXC,CXC 563,Jade light,#6db18c
Ariadna,1744,mahogany dark,#6e1e05
Anchor,Anchor 896,Shell Pink,#6e3335
Madeira,2305,Mahogany Med,#6e350f
Madeira,2201,Old Gold DK,#6e5522
Ariadna,1817,graphite,#6e645f
Finca,8492,Beaver Grey very dark,#6e655c
Ariadna,1713,olive green dark,#6e7828
Ariadna,1633,antique blue dark,#6e878c
Madeira,1402,Green LT,#6e914f
Madeira,2508,Misty Green Med,#6ea89e
Sullivans,Sullivans 45312,Aquamarine Light,#6eb49a
Sullivans,Sullivans 45313,Aquamarine Very Light,#6eb49a
Anchor,Anchor 45,Garnet Very Dark,#6f2531
Finca,7656,Mahogany very dark,#6f2f00
DMC,315,Antique Mauve dark,#6f3842
CXC,CXC 315,Antique Mauve dark,#6f3842
Cosmo,2033,2033,#6f3961
DMC,3860,Cocoa,#6f4f4b
CXC,CXC 3860,Cocoa,#6f4f4b
Sullivans,Sullivans 45148,Beige Grey Very Dark,#6f634c
Cosmo,825,825,#6f6b2c
Madeira,1609,Green Med,#6f6c0e
Sullivans,Sullivans 45132,Moss Green,#6f7720
Anchor,Anchor 859,Fern Green Light,#6f7d63
Anchor,Anchor 69,Dusty Plum Medium Dark,#700040
Anchor,Anchor 94,Purple Dark,#700c63
DMC,815,Garnet medium,#700d23
CXC,CXC 815,Garnet medium,#700d23
Madeira,602,Plum DK,#700f3b
Madeira,314,Copper VY DK,#702a0f
Madeira,2303,Golden Brown Med,#703d18
DMC,869,Hazelnut Brown very dark,#704725
CXC,CXC 869,Hazelnut Brown very dark,#704725
Ariadna,1580,antique violet dark,#704f70
Madeira,1912,Beige Brown DK,#705242
Anchor,Anchor 832,Drab Brown Medium,#705741
DMC,611,Drab Brown,#705a3d
CXC,CXC 611,Drab Brown,#705a3d
Anchor,Anchor 855,Avocado Medium,#70633e
Sullivans,Sullivans 45152,Beaver Grey Dark,#706a59
Madeira,1802,Steel Grey LT,#706d6c
DMC,169,Pewter light,#707a7a
CXC,CXC 169,Pewter light,#707a7a
Finca,3400,Cornflower Blue medium,#707da2
DMC,794,Cornflower Blue light,#708ab8
CXC,CXC 794,Cornflower Blue light,#708ab8
Sullivans,Sullivans 45310,Forest Green,#708d52
Cosmo,2245,2245,#711331
Cosmo,4300,4300,#71202b
Madeira,2614,Dusty Violet VY DK,#713653
Cosmo,435,435,#713b48
Anchor,Anchor 355,Chocolate Medium Dark,#713f22
DMC,3835,Grape medium,#714061
CXC,CXC 3835,Grape medium,#714061
Cosmo,578,578,#714324
Madeira,807,Antique Violet LT,#715761
Madeira,2111,Avocado Med,#715c38
DMC,3052,Green Grey medium,#717c54
CXC,CXC 3052,Green Grey medium,#717c54
Anchor,Anchor 266,Avocado Green Light,#718036
Cosmo,2563,2563,#71ada8
Anchor,Anchor 65,Cerise Ultra Very Dark,#721944
DMC,632,Desert Sand ultra very dark,#723d34
CXC,CXC 632,Desert Sand ultra very dark,#723d34
Cosmo,284,284,#723e94
DMC,3041,Antique Violet medium,#725465
CXC,CXC 3041,Antique Violet medium,#725465
Cosmo,775A,775A,#725727
DMC,640,Beige Grey very dark,#72644f
CXC,CXC 640,Beige Grey very dark,#72644f
Sullivans,Sullivans 45332,Green Grey Medium,#72764e
DMC,522,Fern Green,#727d5f
CXC,CXC 522,Fern Green,#727d5f
Finca,4817,Avocado Green,#72843c
Sullivans,Sullivans 45262,Plum Dark,#730123
Sullivans,Sullivans 45456,Rosewood Medium,#732325
Ariadna,1784,cocoa very dark,#734b28
DMC,3022,Brown Grey medium,#73725f
CXC,CXC 3022,Brown Grey medium,#73725f
Madeira,1510,Fern Green VY LT,#737551
Sullivans,Sullivans 45484,Pewter Light,#737c79
DMC,156,Blue Violet medium light,#737db3
CXC,CXC 156,Blue Violet medium light,#737db3
Madeira,1408,Hunter Green LT,#739345
Cosmo,843,843,#73be9c
Madeira,713,Violet DK,#743462
Cosmo,426,426,#74473d
Anchor,Anchor 365,Golden Brown Medium,#744817
Sullivans,Sullivans 45396,Beige Grey Ultra Dark,#745740
DMC,7,Driftwood,#746256
CXC,CXC 07,Driftwood,#746256
Anchor,Anchor 255,Forest Green Light,#748505
Sullivans,Sullivans 45205,Cornflower Blue Light,#7493c0
Madeira,1310,Pistachio Green LT,#749461
Cosmo,2022,2022,#74cae6
Sullivans,Sullivans 45044,Shell Pink Very Dark,#751019
Cosmo,655,655,#75262f
Madeira,401,Terracotta,#752e2c
DMC,400,Mahogany dark,#753321
CXC,CXC 400,Mahogany dark,#753321
DMC,3858,Rosewood medium,#753d36
CXC,CXC 3858,Rosewood medium,#753d36
Sullivans,Sullivans 45232,Golden Olive Medium,#754e1a
Ariadna,1605,blue violet dark,#755abe
Madeira,2002,Mocha Brown Med,#756450
Anchor,Anchor 1030,Blue Violet Medium,#7567a3
Cosmo,2012,2012,#75784d
Anchor,Anchor 136,Delft Medium,#7582a8
DMC,932,Antique Blue light,#758fa6
CXC,CXC 932,Antique Blue light,#758fa6
Cosmo,2981,2981,#75989d
Sullivans,Sullivans 45112,Blue Green Medium,#759b91
DMC,964,Sea Green light,#75cdc1
CXC,CXC 964,Sea Green light,#75cdc1
DMC,915,Plum dark,#76003d
CXC,CXC 915,Plum dark,#76003d
Cosmo,2310,2310,#76422b
Finca,8026,,#765951
Cosmo,384,384,#765b51
DMC,155,Blue Violet medium dark,#7665ab
CXC,CXC 155,Blue Violet medium dark,#7665ab
Sullivans,Sullivans 45317,Khaki Green Medium,#766837
Sullivans,Sullivans 45471,Blue Violet Medium Light,#7687c2
Sullivans,Sullivans 45214,Delft Blue,#769ad1
Cosmo,118,118,#769e45
Sullivans,Sullivans 45095,Brown Light,#772c17
Sullivans,Sullivans 45433,Grape Medium,#773e6e
Anchor,Anchor 1046,Golden Brown Medium Dark,#774a1a
